,page_url,image_url,author,title,annotation
10,https://www.chitai-gorod.ru/product/ubiystva-i-keksiki-detektivnoe-agentstvo-blagotvoritelnyy-magazin-1-3038714,https://content.img-gorod.ru/pim/products/images/62/bb/019033f5-e0cf-7940-9ddd-262e9a0762bb.jpg?width=304&height=438&fit=bounds,Питер Боланд,Убийства и кексики. Детективное агентство «Благотворительный магазин» (#1),"ЗАВАРИТЕ АРОМАТНЫЙ ЧАЙ И ОКУНИТЕСЬ В ЗАХВАТЫВАЮЩИЙ УЮТНЫЙ ДЕТЕКТИВ ВМЕСТЕ С ТРЕМЯ НЕУГОМОННЫМИ СЫЩИЦАМИ НА ПЕНСИИ. ДЛЯ ПОКЛОННИКОВ БЛИСТАТЕЛЬНЫХ ДЕТЕКТИВОВ АГАТЫ КРИСТИ И «КЛУБА УБИЙСТВ ПО ЧЕТВЕРГАМ» РИЧАРДА ОСМАНА.  В прибрежном Саутборне серийный убийца преследует жителей, оставляя единственную улику в руке каждой жертвы — костяшку домино с нацарапанным на ней именем…  Фиона, Сью и Дэйзи — три очаровательные дамы на пенсии, которые работают в небольшом благотворительном магазинчике. Однажды размеренный ритм их жизни с кофейными вторниками и прогулками по милым улочкам Саутборна нарушает жестокое убийство любимой клиентки. Не желая мириться с такой несправедливостью, они берут расследование в свои руки. Тем более что появляется новое тело, а полицейские никак не могут сдвинуться с мертвой точки. Вооружившись обширными познаниями, почерпнутыми из детективов и, конечно, чаем с отменными кексами, три милые старушки приступают к активным действиям. Так появляется детективное агентство «Благотворительный магазинчик»."
11,https://www.chitai-gorod.ru/product/tvoe-serdce-budet-razbito-2933423,https://content.img-gorod.ru/pim/products/images/24/d8/018ee8b0-0362-79ae-9872-c36363e424d8.jpg?width=304&height=438&fit=bounds,Анна Джейн,Твое сердце будет разбито,"Я вижу его каждый день в окне дома напротив. Он – самый крутой парень в моей новой школе. Красавчик, от которого все без ума. Опасный одиночка, который меня не замечает.Однажды он спас меня от одноклассниц, решивших превратить мою жизнь в ад. Он сказал всем, что я его девушка, и украл мой первый поцелуй при всех! Теперь никто не смеет меня тронуть, потому что никто не рискнет с ним связываться. Взамен я должна делать все, что он скажет. Я терпеть его не могу, но вынуждена подчиниться, если хочу закончить школу без проблем.Чье сердце будет разбито? Мое или его?"
12,https://www.chitai-gorod.ru/product/skorb-satany-2772938,https://content.img-gorod.ru/pim/products/images/dc/ef/01931e88-6701-7bf6-81c8-0efcbde6dcef.jpg?width=304&height=438&fit=bounds,Мария Корелли,Скорбь Сатаны,"Молодой писатель Джеффри Темпест, прозябающий в нищете и безвестности, продает душу Сатане и получает от Князя Тьмы все, о чем только мечтал… точнее, почти все.Теперь светское общество, ранее им пренебрегавшее, лежит у его ног. К его услугам несметное состояние, любовь прекрасной девушки, роскошь и удовольствия.Но много ли это значит, если утрачено главное, ради чего Джеффри жил, — его талант?.."
13,https://www.chitai-gorod.ru/product/imperia-proklatyh-3082979,https://content.img-gorod.ru/pim/products/images/ce/31/01946880-cc5e-7ada-82e0-6880174dce31.jpg?width=304&height=438&fit=bounds,Джей Кристофф,Империя проклятых,"Последний угодник-среброносец Габриэль де Леон спас от смерти Святой Грааль, но упустил возможность положить конец бесконечной ночи. Раз и навсегда отвернувшись от своих братьев-угодников, Габриэль и Грааль отправляются в путь, чтобы выяснить, как можно покончить с мертводнем. Но опасности подстерегают Габриэля буквально на каждом шагу: по пятам следуют жаждущие его смерти дети Вечного Короля, он оказывается втянут в междоусобные войны и веками плетущуюся паутину клановой вражды Лунного трона. Да и собственная растущая жажда крови не дает ни на минуту расслабиться. Удастся ли Габриэлю выжить, чтобы раскрыть тайну Грааля? Тайну, которая пошатнет все, во что они верили."
14,https://www.chitai-gorod.ru/product/geografiya-5-klass-konturnye-karty-2982765,https://content.img-gorod.ru/pim/products/images/b5/03/018eeb52-8f59-74cc-92f9-eaeca6c8b503.jpg?width=304&height=438&fit=bounds,Алексей Матвеев,География. 5 класс. Контурные карты,"Предлагаемые контурные карты для 5 класса являются частью учебно-методического комплекса «Полярная Звезда». Переработанное издание соответствует требованиям Федерального государственного образовательного стандарта основного общего образования, утверждённого Приказом Министерства просвещения РФ № 287 от 31.05.2021 г. Настоящее издание содержит необходимый набор карт, предназначенных для выполнения практических работ и заданий как на уроке, так и во внеурочное время. В издании обновлено содержание, темы карт и их последовательность соответствуют содержанию учебника."
15,https://www.chitai-gorod.ru/product/poklonnik-2841859,https://content.img-gorod.ru/pim/products/images/0e/77/018ee52f-c613-7dc8-afdc-5c330c3e0e77.jpg?width=304&height=438&fit=bounds,Анна Джейн,Поклонник,"Анна Джейн - одна из первых в России авторов Young Adult и одна из самых известных писательниц Рунета. Ее книги выходят в электронном виде с 2010 года, и уже опубликовоно 15 романов. Анна Джейн стала победителем конкурса ""Молодежный бестселлер"" в 2015 году, а в 2017 году вошла в список финсалистов премни Livelib Выбор читателей 2017. КНИГА #ЛЮБОВЬНЕНАВИСТЬ ПОПАЛА В ТОП-5 ПРЕМИИ LIVELIB-2018 В КАТЕГОРИИ YOUNG ADULT. Каждый день Ангелина Ланская получает цветы. Цветов всегда четное количество, и она понятия не имеет, кто их отправитель. Загадочный поклонник намеренно сводит ее с ума, играет, сажает на иглу адреналина и ожидания. Этот человек точно знает, чем ее зацепить. С виду обычная студентка психфака, Ангелина не так безобидна, как кажется. Девушка не помнит свое детство, ее мучает монстр из ночных кошмаров, а порой в ее душе открывается черная бездна. Она - идеальный кандидат для закрытого клуба Легион на роль жертвы... или убийцы? Любовь или смерть? Кровавые ставки уже сделаны. В книге есть #ЛЮБОВЬ #"
16,https://www.chitai-gorod.ru/product/psihotryuki-69-priemov-v-obshchenii-kotorym-ne-uchat-v-shkole-2875596,https://content.img-gorod.ru/pim/products/images/23/f9/018f5f02-9274-708e-b55f-856bf8a623f9.jpg?width=304&height=438&fit=bounds,Игорь Рызов,"Психотрюки. 69 приемов в общении, которым не учат в школе","Психотрюки — это простые приемы, которые помогают поставить хама на место, защитить личные границы, выиграть в споре, договориться о выгодных условиях сделки или убедить себя не сдаваться на пути к цели. Не важно, какой у вас опыт самоконтроля и переговоров, прелесть психотрюков в том, что они работают в любом случае и требуют минимум тренировки. Автор этой книги — Игорь Рызов — ведущий эксперт по переговорам, автор четырех бестселлеров, дважды победитель премии «Деловая книга года». Он предлагает 69 психотрюков для: • эффективной реакции на бестактные замечания; • защиты от психологических агрессоров; • победы над газлайтером; • успешного убеждения оппонента; • преодоления страха и волнения; • настройки себя на сверхдостижения."
17,https://www.chitai-gorod.ru/product/1984-novyy-perevod-2918634,https://content.img-gorod.ru/pim/products/images/8d/da/018fa27b-966f-7295-b2fa-8697f6918dda.jpg?width=304&height=438&fit=bounds,Джордж Оруэлл,1984 (новый перевод),"Культовый роман Джорджа Оруэлла, одна из главных антиутопий XX века.Жуткий и пугающий текст, и 70 лет спустя не утративший актуальности.Впервые «1984» публикуется на русском языке в новом, полном, без цензуры и купюр, переводе Дарьи Целовальниковой."
18,https://www.chitai-gorod.ru/product/prestuplenie-i-nakazanie-2465295,https://content.img-gorod.ru/pim/products/images/43/6f/0191b5fa-b44a-7ddd-abc9-69bb2670436f.jpg?width=304&height=438&fit=bounds,Федор Достоевский,Преступление и наказание,"""Преступление и наказание"" (1866) — одно из самых значительных произведений в истории мировой литературы. Это и глубокий филососфский роман, и тонкая психологическая драма, и захватывающий детектив, и величественная картина мрачного города, в недрах которого герои грешат и ищут прощения, жертвуют собой и отрекаются от себя ради ближних и находят успокоение в смирении, покаянии, вере. Главный герой романа Родион Раскольников решается на убийство, чтобы доказать себе и миру, что он не ""тварь дрожащая"", а ""право имеет"". Главным предметом исследования писателя становится процесс превращения добропорядочного, умного и доброго юноши в убийцу, а также то, как совершивший преступление Раскольников может искупить свою вину. """
20,https://www.chitai-gorod.ru/product/opasnaya-igra-babuli-rukovodstvo-po-raskrytiyu-sobstvennogo-ubiystva-3055082,https://content.img-gorod.ru/pim/products/images/0e/f2/0191e489-9e25-70fa-b80d-2334cd140ef2.jpg?width=304&height=438&fit=bounds,Кристен Перрин,Опасная игра бабули. Руководство по раскрытию собственного убийства,"САМАЯ ОЖИДАЕМАЯ КНИГА 2024 ГОДА ПО ВЕРСИИ BARNES & NOBLE, GOODREADS, BOOKRIOT, BOOKBUB.  МГНОВЕННЫЙ НАЦИОНАЛЬНЫЙ БЕСТСЕЛЛЕР БРИТАНИИ, ФИНАЛИСТ КНИЖНОГО КЛУБА ДЖИММИ ФЭЛЛОНА, ВЫБОР GOOD MORNING AMERICA!  ИГРА В РАССЛЕДОВАНИЕ УБИЙСТВА ДЛЯ ФАНАТОВ «ДОСТАТЬ НОЖИ» И «КЛУБ УБИЙСТВ ПО ЧЕТВЕРГАМ».  Чрезвычайно забавный детектив о женщине, которая всю свою жизнь пыталась предотвратить предсказанное ей убийство. И доказала свою правоту спустя шестьдесят лет, когда ее нашли убитой в собственном загородном поместье.  Старая добрая Англия, 1965 год. Ярмарочная гадалка предсказывает шестнадцатилетней Фрэнсис Адамс ужасающее будущее: однажды девушку убьют… С тех пор всю свою жизнь та посвящает расследованию убийства, которое еще не произошло. Никто не принимал опасения Фрэнсис всерьез, пока, шестьдесят лет спустя, ее труп не находят в библиотеке.  Наши дни. Энни Адамс приглашают в Грейвсдаун-холл — обширное загородное поместье ее эксцентричной двоюродной бабушки Фрэнсис. Но когда девушка прибывает в причудливую деревушку Касл-Нолл, старушка уже мертва. И по условиям завещания все ее огромное состояние, а также поместье, получит тот, кто раскроет это убийство. Расследование осложняется привычкой Фрэнсис собирать на всех компромат. Кажется, что у каждого милого и чудаковатого местного жителя имелся мотив убить ее.  Вместе с другим наследником Энни оказывается втянута в крайне опасную игру. И чем ближе разгадка, тем больше опасений, что вместо Грейвсдаун-холла она унаследует печальную судьбу своей бабушки…  _________________________________________________________ «Причудливая деревушка на юго-западе Англии, женщина сыщик-любитель, обладающая дедуктивным способностями Эркюля Пуаро из романов Агаты Кристи, и эксцентричная убитая тетушка — все это объединяется в блестящем и мастерски написанном детективе. Для всех любителей загадочных убийств — это для вас! Не пропустите». — Лив Константин, автор мирового бестселлера «Последняя миссис Пэрриш»  «""Руководство по раскрытию собственного убийства"" — это мастер-класс по искусству разгадывания тайн. Кристен Перрин создала увлекательную головоломку из острой прозы, неотразимых персонажей и невероятно запутанного сюжета. Один из лучших и наиболее захватывающих детективов, которые я когда-либо читала». — Эль Косимано, автор остросюжетных романов про Финли Донован  «Начинающая писательница Кристен Перрин совершила невозможное, поведав читателям о типичном английском детективе с убийством со свежим, нетрадиционным подходом. Идиллическая деревушка? Есть. Сыщик-любитель? Есть. Мрачное предсказание гадалки сбывается спустя шестьдесят лет? Вот это уже становится захватывающей историей. Здесь нет недостатка в интересных, разносторонне развитых персонажах, и этот очаровательный и многогранный детективный роман станет прекрасным дополнением к любимыми читателями произведениям Агата Кристи, Ричард Осман и Ниты Проуз». — Сара Пеннер, автор мирового бестселлера «Тайная лавка ядов»  «Возьмите плед и кружку чая ""Английский завтрак"" и приготовьтесь погрузиться в чтение восхитительной книги Кристен Перрин ""Руководство по раскрытию собственного убийства"". Перрин безупречно связывает сыщика-любителя Энни с группой эксцентричных персонажей, страшным предсказанием гадалки, тайной шестидесятилетней давности и загадочным убийством. В духе Агаты Кристи, и идеально для поклонников ""Горничной"" — это очаровательный детектив — мне понравилось!» — Карма Браун, автор международного бестселлера «Рецепт идеальной жены»  «Мне понравилось: тепло, умно и безумно оригинально». — Элли Гриффитс, автор остросюжетных романов и обладатель премии Эдгара По  «Этот дебют… объявляет о появлении нового яркого таланта на поприще уютных детективов. В первом детективе Перрин есть остроумие, стиль и напряжение, а также дерзкая главная героиня. Восхитительно освежающая история о заговорах и преданности, которыми окутана маленькая деревушка в Дорсете, где у каждого есть один-два скелета в шкафу». — Daily Mail  «Выберите положительную превосходную степень и будьте уверены, что читатели будут ее использовать при описании этой истории. Поклонники Элис Белл, Дженис Халлетт и Агаты Кристи будут надеяться увидеть больше Перрин, которая отложила в сторону подростковые книги, чтобы дебютировать во взрослой литературе». — Booklist  «""Руководство по раскрытию собственного убийства"" — это захватывающее чтение с хитроумным сюжетом, в основе которого лежит прекрасная идея создать настоящую сокровищницу с историями… Перрин написала гениальную, проникновенную и совершенно захватывающую книгу. Если вы ищете хорошую детективную историю, которая не даст вам заскучать до утра, то можете больше не искать». — The Nerd Daily  «""Руководство по раскрытию собственного убийства"" зацепило меня с самого начала и не отпускало до конца…Подсказки и ложные следы созданы блестяще… Эта книга доставила мне такое удовольствие, что я обнаружил себя за тем, чего давно не делал — беру ее с собой повсюду, чтобы прочитать еще одну-две странички. Это продуманный и тщательно проработанный роман, который можно смело рекомендовать». — Book Reporter  «Темп повествования быстрый, много отвлекающих маневров, и прекрасно показано превращение Энн из робкой начинающей писательницы в уверенного в себе сыщика. Сочетая в себе элементы Агаты Кристи, Энтони Горовица и ""Убийства в Мидсомере"", — это увлекательный детективный роман многообещающего нового талантливого автора». — Publishers Weekly  «Перрин с апломбом манипулирует персонажами и подсказками, зарисовывая прошлое с помощью дневников юной Фрэнсис и погружая читателей в настоящее с помощью точки зрения решительной, добросердечной Энни. Читатели будут болеть за нее, когда она обретет с таким трудом завоеванную уверенность в этом увлекательном исследовании семейных тайн». — BookPage  «Полный загадок… Это безмятежный спокойный детектив, многие загадки которого находятся на грани между смехотворно простыми и запредельно сложными. Неофициальное название Касл-Нолл должно быть ""гнездо гадюк"". Как выразился Саксон, пронырливый мальчик-шпион, который вырос и стал коронером: ""Мы все в чем-то виноваты""». — New York Times Book Review  «Захватывающий, уютный детектив с таким количеством поворотов, что читатели вплоть до последней страницы будут менять свое мнение о том, кто это сделал и почему». — Shelf Awareness  «В сюжете есть что-то захватывающее, тайна определенно вызывает интерес, а Перрин — талантливая писательница». — Christian Science Monitor"
